ticker,trailingPE,forwardPE,priceToBook,priceToSalesTrailing12Months,enterpriseToEbitda,pegRatio,returnOnEquity,returnOnAssets,profitMargins,operatingMargins,grossMargins,debtToEquity,currentRatio,quickRatio,revenueGrowth,earningsGrowth,marketCap,trailingEps,forwardEps,bookValue,dividendYield,beta,sector,download_date
VRTX,32.689217,22.952072,6.8017654,10.144701,24.033,,0.22307,0.12039,0.31349,0.40268,0.52716,10.594,2.362,1.84,0.11,0.047,118929367040,14.19,20.20994,68.197,,0.314,Healthcare,2026-01-11
SYK,48.296978,24.603739,6.451919,5.764981,23.414,,0.14036,0.07497,0.12071,0.22272,0.65046996,78.646,1.849,0.942,0.102,0.028,140555993088,7.61,14.93838,56.966,0.96,0.896,Healthcare,2026-01-11
ZTS,21.40909,18.734035,10.400752,5.997621,15.347,,0.49868,0.15089,0.28211,0.39333,0.71736,135.05,3.643,2.006,0.005,0.085,56359645184,5.94,6.78818,12.227,1.67,0.97,Healthcare,2026-01-11
BDX,34.83677,12.767199,2.279063,2.6496618,12.414,,0.06544,0.041739997,0.07683,0.17858,0.47431,78.85,1.113,0.438,0.083,0.252,57868611584,5.82,15.88054,88.962,2.07,0.262,Healthcare,2026-01-11
BSX,52.2139,28.139626,6.186795,7.4807806,30.714,,0.12488,0.05756,0.1443,0.20731,0.68329,50.973,1.508,0.77,0.203,0.6,144745627648,1.87,3.46984,15.782,,0.671,Healthcare,2026-01-11
HUM,25.898037,22.66522,1.7977273,0.2635096,6.263,,0.07159,0.045760002,0.01022,0.02043,0.14949,69.686,2.024,1.533,0.111,-0.593,33297600512,10.69,12.21475,154.0,1.28,0.456,Healthcare,2026-01-11
HCA,18.247778,15.940104,-20.338202,1.485254,10.341,,,0.12198,0.0853,0.15474,0.41377,,0.854,0.644,0.096,0.426,110461313024,25.87,29.61524,-23.211,0.61,1.368,Healthcare,2026-01-11
IQV,33.34388,18.731575,6.7017775,2.595726,18.687,,0.19374001,0.05071,0.08067001,0.13976,0.33778,242.366,0.703,0.621,0.052,0.245,41282424832,7.27,12.94125,36.171,,1.367,Healthcare,2026-01-11
DXCM,37.444447,27.217148,9.642346,5.8529344,24.988,,0.30635,0.07017,0.15958999,0.20053,0.59014,94.479,1.565,1.346,0.216,1.099,26431264768,1.8,2.47638,6.99,,1.483,Healthcare,2026-01-11
IDXX,56.4806,49.148384,36.553932,13.694677,40.261,,0.64633006,0.24065,0.24654,0.32106,0.6172,71.29,1.18,0.737,0.133,0.214,57071349760,12.63,14.51421,19.515,,1.672,Healthcare,2026-01-11
